mol_id,original_row_index,original_smiles,canonical_smiles,Eox,murcko_scaffold,molecular_target_key
1425,10545,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,1.107,O=C1CCCC1Cc1ccccc1,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1||1.107
1426,3875,CC(C(=O)O)c1ccc(N)cc1,CC(C(=O)O)c1ccc(N)cc1,0.622,c1ccccc1,CC(C(=O)O)c1ccc(N)cc1||0.622
1427,9580,CC(C(=O)O)c1ccc(N2CCCCC2)cc1,CC(C(=O)O)c1ccc(N2CCCCC2)cc1,0.491,c1ccc(N2CCCCC2)cc1,CC(C(=O)O)c1ccc(N2CCCCC2)cc1||0.491
1428,12579,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.771,O=C1c2ccccc2CN1c1ccccc1,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1||0.771
1429,11156,CC(C(=O)O)c1ccc(NCc2ccccc2)cc1,CC(C(=O)O)c1ccc(NCc2ccccc2)cc1,0.434,c1ccc(CNc2ccccc2)cc1,CC(C(=O)O)c1ccc(NCc2ccccc2)cc1||0.434
1430,12406,CC(C(=O)O)c1ccc2c(=O)c3ccccc3ccc2c1,CC(C(=O)O)c1ccc2c(=O)c3ccccc3ccc2c1,0.869,O=c1c2ccccc2ccc2ccccc12,CC(C(=O)O)c1ccc2c(=O)c3ccccc3ccc2c1||0.869
1431,9509,CC(C(=O)O)c1ccc2c(c1)CC(C(C)C)C2,CC(C(=O)O)c1ccc2c(c1)CC(C(C)C)C2,1.007,c1ccc2c(c1)CCC2,CC(C(=O)O)c1ccc2c(c1)CC(C(C)C)C2||1.007
1432,10922,CC(C(=O)O)c1ccc2c(c1)CCc1ccccc1-2,CC(C(=O)O)c1ccc2c(c1)CCc1ccccc1-2,0.755,c1ccc2c(c1)CCc1ccccc1-2,CC(C(=O)O)c1ccc2c(c1)CCc1ccccc1-2||0.755
1433,9931,CC(C(=O)O)c1ccc2c(c1)Cc1ccccc1-2,CC(C(=O)O)c1ccc2c(c1)Cc1ccccc1-2,0.779,c1ccc2c(c1)Cc1ccccc1-2,CC(C(=O)O)c1ccc2c(c1)Cc1ccccc1-2||0.779
1434,10810,CC(C(=O)O)c1ccc2c(ccc3ccccc32)c1,CC(C(=O)O)c1ccc2c(ccc3ccccc32)c1,0.736,c1ccc2c(c1)ccc1ccccc12,CC(C(=O)O)c1ccc2c(ccc3ccccc32)c1||0.736
1435,12136,CC(C(=O)O)c1ccc2cc(C(C)C(=O)O)ccc2c1,CC(C(=O)O)c1ccc2cc(C(C)C(=O)O)ccc2c1,0.691,c1ccc2ccccc2c1,CC(C(=O)O)c1ccc2cc(C(C)C(=O)O)ccc2c1||0.691
1436,10812,CC(C(=O)O)c1ccc2ccc3ccccc3c2c1,CC(C(=O)O)c1ccc2ccc3ccccc3c2c1,0.712,c1ccc2c(c1)ccc1ccccc12,CC(C(=O)O)c1ccc2ccc3ccccc3c2c1||0.712
1437,9004,CC(C(=O)O)c1cccc(-c2ccccc2)c1,CC(C(=O)O)c1cccc(-c2ccccc2)c1,1.004,c1ccc(-c2ccccc2)cc1,CC(C(=O)O)c1cccc(-c2ccccc2)c1||1.004
1438,11032,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.389,O=C(c1ccccc1)c1ccccc1,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1||1.389
1439,8702,CC(C(=O)O)c1cccc(C(C)C(=O)O)c1,CC(C(=O)O)c1cccc(C(C)C(=O)O)c1,1.322,c1ccccc1,CC(C(=O)O)c1cccc(C(C)C(=O)O)c1||1.322
1440,10143,CC(C(=O)O)c1cccc(Cc2ccccc2)c1,CC(C(=O)O)c1cccc(Cc2ccccc2)c1,1.136,c1ccc(Cc2ccccc2)cc1,CC(C(=O)O)c1cccc(Cc2ccccc2)c1||1.136
1441,11762,CC(C(=O)O)c1cccc2c(-c3ccccc3)coc12,CC(C(=O)O)c1cccc2c(-c3ccccc3)coc12,0.754,c1ccc(-c2coc3ccccc23)cc1,CC(C(=O)O)c1cccc2c(-c3ccccc3)coc12||0.754
1442,11065,CC(C(=O)O)c1cccc2cc3c(cc12)CCCC3,CC(C(=O)O)c1cccc2cc3c(cc12)CCCC3,0.62,c1ccc2cc3c(cc2c1)CCCC3,CC(C(=O)O)c1cccc2cc3c(cc12)CCCC3||0.62
1443,6774,CC(C(=O)O)c1cccc2ccccc12,CC(C(=O)O)c1cccc2ccccc12,0.797,c1ccc2ccccc2c1,CC(C(=O)O)c1cccc2ccccc12||0.797
1444,2666,CC(C(=O)O)c1ccccc1,CC(C(=O)O)c1ccccc1,1.452,c1ccccc1,CC(C(=O)O)c1ccccc1||1.452
1445,12476,CC(C(=O)O)c1cn(Cc2ccccc2)c2ccccc12,CC(C(=O)O)c1cn(Cc2ccccc2)c2ccccc12,0.434,c1ccc(Cn2ccc3ccccc32)cc1,CC(C(=O)O)c1cn(Cc2ccccc2)c2ccccc12||0.434
1446,1922,CC(C(=O)O)n1cccc1,CC(C(=O)O)n1cccc1,0.959,c1cc[nH]c1,CC(C(=O)O)n1cccc1||0.959
1447,937,CC(C(N)=O)C(=O)O,CC(C(N)=O)C(=O)O,1.991,NO_SCAFFOLD::CC(C(N)=O)C(=O)O,CC(C(N)=O)C(=O)O||1.991
1448,3425,CC(C(N)C(=O)O)C(C)(C)C,CC(C(N)C(=O)O)C(C)(C)C,1.424,NO_SCAFFOLD::CC(C(N)C(=O)O)C(C)(C)C,CC(C(N)C(=O)O)C(C)(C)C||1.424
1449,14005,CC(C(N)c1ccccc1)C(Nc1ccccc1)c1ccccc1,CC(C(N)c1ccccc1)C(Nc1ccccc1)c1ccccc1,0.297,c1ccc(CCC(Nc2ccccc2)c2ccccc2)cc1,CC(C(N)c1ccccc1)C(Nc1ccccc1)c1ccccc1||0.297
1450,13536,CC(C(O)c1ccccc1)N(C)C(=S)Nc1ccccc1,CC(C(O)c1ccccc1)N(C)C(=S)Nc1ccccc1,0.656,S=C(NCCc1ccccc1)Nc1ccccc1,CC(C(O)c1ccccc1)N(C)C(=S)Nc1ccccc1||0.656
1451,13750,CC(C)(C#CC=CCNCc1cccc2ccccc12)C(=O)O,CC(C)(C#CC=CCNCc1cccc2ccccc12)C(=O)O,0.647,c1ccc2ccccc2c1,CC(C)(C#CC=CCNCc1cccc2ccccc12)C(=O)O||0.647
1452,4956,CC(C)(C(=O)NN)c1ccccc1,CC(C)(C(=O)NN)c1ccccc1,1.292,c1ccccc1,CC(C)(C(=O)NN)c1ccccc1||1.292
1453,7446,CC(C)(C(=O)O)C(=O)Nc1ccccc1,CC(C)(C(=O)O)C(=O)Nc1ccccc1,0.96,c1ccccc1,CC(C)(C(=O)O)C(=O)Nc1ccccc1||0.96
1454,1605,CC(C)(C(=O)O)C(=O)O,CC(C)(C(=O)O)C(=O)O,2.06,NO_SCAFFOLD::CC(C)(C(=O)O)C(=O)O,CC(C)(C(=O)O)C(=O)O||2.06
1455,4564,CC(C)(C(=O)O)C(C)(C)C(=O)O,CC(C)(C(=O)O)C(C)(C)C(=O)O,1.99,NO_SCAFFOLD::CC(C)(C(=O)O)C(C)(C)C(=O)O,CC(C)(C(=O)O)C(C)(C)C(=O)O||1.99
1456,10869,CC(C)(C(=O)O)C1=CCC(C2CCCCC2)CC1,CC(C)(C(=O)O)C1=CCC(C2CCCCC2)CC1,1.094,C1=CCC(C2CCCCC2)CC1,CC(C)(C(=O)O)C1=CCC(C2CCCCC2)CC1||1.094
1457,4105,CC(C)(C(=O)O)C1=CCCCC1,CC(C)(C(=O)O)C1=CCCCC1,1.21,C1=CCCCC1,CC(C)(C(=O)O)C1=CCCCC1||1.21
1458,5244,CC(C)(C(=O)O)C1=CCCCCC1,CC(C)(C(=O)O)C1=CCCCCC1,1.14,C1=CCCCCC1,CC(C)(C(=O)O)C1=CCCCCC1||1.14
1459,6773,CC(C)(C(=O)O)C1CCC(C(=O)O)C1,CC(C)(C(=O)O)C1CCC(C(=O)O)C1,1.983,C1CCCC1,CC(C)(C(=O)O)C1CCC(C(=O)O)C1||1.983
1460,4239,CC(C)(C(=O)O)C1CCCCC1,CC(C)(C(=O)O)C1CCCCC1,1.899,C1CCCCC1,CC(C)(C(=O)O)C1CCCCC1||1.899
1461,10109,CC(C)(C(=O)O)c1ccc(-c2ccccc2)cc1,CC(C)(C(=O)O)c1ccc(-c2ccccc2)cc1,0.937,c1ccc(-c2ccccc2)cc1,CC(C)(C(=O)O)c1ccc(-c2ccccc2)cc1||0.937
1462,7546,CC(C)(C(=O)O)c1ccc(C(=O)O)cc1,CC(C)(C(=O)O)c1ccc(C(=O)O)cc1,1.528,c1ccccc1,CC(C)(C(=O)O)c1ccc(C(=O)O)cc1||1.528
1463,8032,CC(C)(C(=O)O)c1cccc2ccccc12,CC(C)(C(=O)O)c1cccc2ccccc12,0.769,c1ccc2ccccc2c1,CC(C)(C(=O)O)c1cccc2ccccc12||0.769
1464,3745,CC(C)(C(=O)O)c1ccccc1,CC(C)(C(=O)O)c1ccccc1,1.412,c1ccccc1,CC(C)(C(=O)O)c1ccccc1||1.412
1465,7542,CC(C)(C(=O)O)c1ccccc1C(=O)O,CC(C)(C(=O)O)c1ccccc1C(=O)O,1.471,c1ccccc1,CC(C)(C(=O)O)c1ccccc1C(=O)O||1.471
1466,11881,CC(C)(C(=O)O)c1ccccc1C(=O)c1ccccc1,CC(C)(C(=O)O)c1ccccc1C(=O)c1ccccc1,1.332,O=C(c1ccccc1)c1ccccc1,CC(C)(C(=O)O)c1ccccc1C(=O)c1ccccc1||1.332
1467,10821,CC(C)(C(=O)O)c1ccccc1C(C)(C)C(=O)O,CC(C)(C(=O)O)c1ccccc1C(C)(C)C(=O)O,1.101,c1ccccc1,CC(C)(C(=O)O)c1ccccc1C(C)(C)C(=O)O||1.101
1468,9541,CC(C)(C(N)c1ccccc1)N1CCCCC1,CC(C)(C(N)c1ccccc1)N1CCCCC1,0.609,c1ccc(CCN2CCCCC2)cc1,CC(C)(C(N)c1ccccc1)N1CCCCC1||0.609
1469,8743,CC(C)(C)C#CC1(C(=O)O)C(C)(C)C1(C)C,CC(C)(C)C#CC1(C(=O)O)C(C)(C)C1(C)C,1.236,C1CC1,CC(C)(C)C#CC1(C(=O)O)C(C)(C)C1(C)C||1.236
1470,6085,CC(C)(C)C#CC1=C(C(=O)O)C1(C)C,CC(C)(C)C#CC1=C(C(=O)O)C1(C)C,1.203,C1=CC1,CC(C)(C)C#CC1=C(C(=O)O)C1(C)C||1.203
1471,9710,CC(C)(C)C#CC1C(N2CCNCC2)C1(C)C,CC(C)(C)C#CC1C(N2CCNCC2)C1(C)C,0.826,C1CN(C2CC2)CCN1,CC(C)(C)C#CC1C(N2CCNCC2)C1(C)C||0.826
1472,12381,CC(C)(C)C#CC=CCNCc1cccc2ccccc12,CC(C)(C)C#CC=CCNCc1cccc2ccccc12,0.674,c1ccc2ccccc2c1,CC(C)(C)C#CC=CCNCc1cccc2ccccc12||0.674
1473,398,CC(C)(C)C(=N)N,CC(C)(C)C(=N)N,1.344,NO_SCAFFOLD::CC(C)(C)C(=N)N,CC(C)(C)C(=N)N||1.344
1474,3169,CC(C)(C)C(=NN)C(C)(C)C,CC(C)(C)C(=NN)C(C)(C)C,0.667,NO_SCAFFOLD::CC(C)(C)C(=NN)C(C)(C)C,CC(C)(C)C(=NN)C(C)(C)C||0.667
1475,1488,CC(C)(C)C(=O)C(=O)O,CC(C)(C)C(=O)C(=O)O,1.684,NO_SCAFFOLD::CC(C)(C)C(=O)C(=O)O,CC(C)(C)C(=O)C(=O)O||1.684
1476,9347,CC(C)(C)C(=O)C=C(N)C=Cc1ccccc1,CC(C)(C)C(=O)C=C(N)C=Cc1ccccc1,0.763,c1ccccc1,CC(C)(C)C(=O)C=C(N)C=Cc1ccccc1||0.763
1477,828,CC(C)(C)C(=O)CN,CC(C)(C)C(=O)CN,1.424,NO_SCAFFOLD::CC(C)(C)C(=O)CN,CC(C)(C)C(=O)CN||1.424
1478,7378,CC(C)(C)C(=O)N(N)Cc1ccccc1,CC(C)(C)C(=O)N(N)Cc1ccccc1,1.236,c1ccccc1,CC(C)(C)C(=O)N(N)Cc1ccccc1||1.236
1479,14640,CC(C)(C)C(=O)N1C(C(=O)O)Cc2ccccc2C1Cc1ccccc1,CC(C)(C)C(=O)N1C(C(=O)O)Cc2ccccc2C1Cc1ccccc1,1.019,c1ccc(CC2NCCc3ccccc32)cc1,CC(C)(C)C(=O)N1C(C(=O)O)Cc2ccccc2C1Cc1ccccc1||1.019
1480,6709,CC(C)(C)C(=O)N1CCCC1C(=O)O,CC(C)(C)C(=O)N1CCCC1C(=O)O,1.327,C1CCNC1,CC(C)(C)C(=O)N1CCCC1C(=O)O||1.327
1481,11460,CC(C)(C)C(=O)N1CCc2ccccc2C1C(=O)O,CC(C)(C)C(=O)N1CCc2ccccc2C1C(=O)O,1.21,c1ccc2c(c1)CCNC2,CC(C)(C)C(=O)N1CCc2ccccc2C1C(=O)O||1.21
1482,11459,CC(C)(C)C(=O)N1Cc2ccccc2CC1C(=O)O,CC(C)(C)C(=O)N1Cc2ccccc2CC1C(=O)O,1.072,c1ccc2c(c1)CCNC2,CC(C)(C)C(=O)N1Cc2ccccc2CC1C(=O)O||1.072
1483,13257,CC(C)(C)C(=O)NC(=S)NC1C2CC3CC(C2)CC1C3,CC(C)(C)C(=O)NC(=S)NC1C2CC3CC(C2)CC1C3,1.026,C1C2CC3CC1CC(C2)C3,CC(C)(C)C(=O)NC(=S)NC1C2CC3CC(C2)CC1C3||1.026
1484,10854,CC(C)(C)C(=O)NC(=S)NCc1ccccc1,CC(C)(C)C(=O)NC(=S)NCc1ccccc1,1.084,c1ccccc1,CC(C)(C)C(=O)NC(=S)NCc1ccccc1||1.084
1485,9826,CC(C)(C)C(=O)NC(=S)Nc1ccccc1,CC(C)(C)C(=O)NC(=S)Nc1ccccc1,0.873,c1ccccc1,CC(C)(C)C(=O)NC(=S)Nc1ccccc1||0.873
1486,10743,CC(C)(C)C(=O)NC(Cc1ccccc1)C(=O)O,CC(C)(C)C(=O)NC(Cc1ccccc1)C(=O)O,1.297,c1ccccc1,CC(C)(C)C(=O)NC(Cc1ccccc1)C(=O)O||1.297
1487,5427,CC(C)(C)C(=O)NC1CCNCC1,CC(C)(C)C(=O)NC1CCNCC1,1.013,C1CCNCC1,CC(C)(C)C(=O)NC1CCNCC1||1.013
1488,5632,CC(C)(C)C(=O)NCCCC(=O)O,CC(C)(C)C(=O)NCCCC(=O)O,1.455,NO_SCAFFOLD::CC(C)(C)C(=O)NCCCC(=O)O,CC(C)(C)C(=O)NCCCC(=O)O||1.455
1489,894,CC(C)(C)C(=O)NN,CC(C)(C)C(=O)NN,1.673,NO_SCAFFOLD::CC(C)(C)C(=O)NN,CC(C)(C)C(=O)NN||1.673
1490,7350,CC(C)(C)C(=O)NNCc1ccccc1,CC(C)(C)C(=O)NNCc1ccccc1,1.351,c1ccccc1,CC(C)(C)C(=O)NNCc1ccccc1||1.351
1491,6118,CC(C)(C)C(=O)NNc1ccccc1,CC(C)(C)C(=O)NNc1ccccc1,0.815,c1ccccc1,CC(C)(C)C(=O)NNc1ccccc1||0.815
1492,8595,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cc1,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cc1,1.061,c1ccccc1,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cc1||1.061
1493,8594,CC(C)(C)C(=O)Nc1cccc(C(=O)O)c1,CC(C)(C)C(=O)Nc1cccc(C(=O)O)c1,0.989,c1ccccc1,CC(C)(C)C(=O)Nc1cccc(C(=O)O)c1||0.989
1494,466,CC(C)(C)C(=O)O,CC(C)(C)C(=O)O,2.142,NO_SCAFFOLD::CC(C)(C)C(=O)O,CC(C)(C)C(=O)O||2.142
1495,4832,CC(C)(C)C(=O)c1ccccc1N,CC(C)(C)C(=O)c1ccccc1N,0.693,c1ccccc1,CC(C)(C)C(=O)c1ccccc1N||0.693
1496,3467,CC(C)(C)C(C(=O)O)C(=O)O,CC(C)(C)C(C(=O)O)C(=O)O,2.051,NO_SCAFFOLD::CC(C)(C)C(C(=O)O)C(=O)O,CC(C)(C)C(C(=O)O)C(=O)O||2.051
1497,4433,CC(C)(C)C(C(=O)O)C(C)(C)C,CC(C)(C)C(C(=O)O)C(C)(C)C,1.931,NO_SCAFFOLD::CC(C)(C)C(C(=O)O)C(C)(C)C,CC(C)(C)C(C(=O)O)C(C)(C)C||1.931
1498,10612,CC(C)(C)C(C(=O)O)N1Cc2ccccc2C1=O,CC(C)(C)C(C(=O)O)N1Cc2ccccc2C1=O,1.257,O=C1NCc2ccccc21,CC(C)(C)C(C(=O)O)N1Cc2ccccc2C1=O||1.257
1499,5594,CC(C)(C)C(C)(C(=O)O)C(C)(C)C,CC(C)(C)C(C)(C(=O)O)C(C)(C)C,1.846,NO_SCAFFOLD::CC(C)(C)C(C)(C(=O)O)C(C)(C)C,CC(C)(C)C(C)(C(=O)O)C(C)(C)C||1.846
1500,2349,CC(C)(C)C(C)(C)C(=O)O,CC(C)(C)C(C)(C)C(=O)O,2.01,NO_SCAFFOLD::CC(C)(C)C(C)(C)C(=O)O,CC(C)(C)C(C)(C)C(=O)O||2.01
1501,1468,CC(C)(C)C(C)(C)CN,CC(C)(C)C(C)(C)CN,1.236,NO_SCAFFOLD::CC(C)(C)C(C)(C)CN,CC(C)(C)C(C)(C)CN||1.236
1502,859,CC(C)(C)C(C)(C)N,CC(C)(C)C(C)(C)N,1.249,NO_SCAFFOLD::CC(C)(C)C(C)(C)N,CC(C)(C)C(C)(C)N||1.249
1503,1600,CC(C)(C)C(C)(O)CN,CC(C)(C)C(C)(O)CN,1.26,NO_SCAFFOLD::CC(C)(C)C(C)(O)CN,CC(C)(C)C(C)(O)CN||1.26
1504,6965,CC(C)(C)C(CCC(=O)O)CC(=O)O,CC(C)(C)C(CCC(=O)O)CC(=O)O,2.106,NO_SCAFFOLD::CC(C)(C)C(CCC(=O)O)CC(=O)O,CC(C)(C)C(CCC(=O)O)CC(=O)O||2.106
1505,1542,CC(C)(C)C(CN)CN,CC(C)(C)C(CN)CN,1.105,NO_SCAFFOLD::CC(C)(C)C(CN)CN,CC(C)(C)C(CN)CN||1.105
1506,7510,CC(C)(C)C(CO)CNc1ccccc1,CC(C)(C)C(CO)CNc1ccccc1,0.482,c1ccccc1,CC(C)(C)C(CO)CNc1ccccc1||0.482
1507,7360,CC(C)(C)C(Cc1ccccc1)C(=O)O,CC(C)(C)C(Cc1ccccc1)C(=O)O,1.288,c1ccccc1,CC(C)(C)C(Cc1ccccc1)C(=O)O||1.288
1508,1565,CC(C)(C)C(N)C(=O)O,CC(C)(C)C(N)C(=O)O,1.443,NO_SCAFFOLD::CC(C)(C)C(N)C(=O)O,CC(C)(C)C(N)C(=O)O||1.443
1509,932,CC(C)(C)C(N)CN,CC(C)(C)C(N)CN,1.207,NO_SCAFFOLD::CC(C)(C)C(N)CN,CC(C)(C)C(N)CN||1.207
1510,4281,CC(C)(C)C(N)CN1CCCC1,CC(C)(C)C(N)CN1CCCC1,0.836,C1CCNC1,CC(C)(C)C(N)CN1CCCC1||0.836
1511,5409,CC(C)(C)C1(C(=O)O)CCCCC1,CC(C)(C)C1(C(=O)O)CCCCC1,1.927,C1CCCCC1,CC(C)(C)C1(C(=O)O)CCCCC1||1.927
1512,1176,CC(C)(C)C1=CCCN1,CC(C)(C)C1=CCCN1,0.275,C1=CNCC1,CC(C)(C)C1=CCCN1||0.275
1513,1873,CC(C)(C)C1=CCNC=C1,CC(C)(C)C1=CCNC=C1,0.048,C1=CCNC=C1,CC(C)(C)C1=CCNC=C1||0.048
1514,7011,CC(C)(C)C1=NNC(c2ccccc2)C1,CC(C)(C)C1=NNC(c2ccccc2)C1,0.426,C1=NNC(c2ccccc2)C1,CC(C)(C)C1=NNC(c2ccccc2)C1||0.426
1515,8340,CC(C)(C)C1CC(=O)N(c2ccccc2)N1,CC(C)(C)C1CC(=O)N(c2ccccc2)N1,0.697,O=C1CCNN1c1ccccc1,CC(C)(C)C1CC(=O)N(c2ccccc2)N1||0.697
1516,3114,CC(C)(C)C1CC(C(=O)O)C1,CC(C)(C)C1CC(C(=O)O)C1,1.991,C1CCC1,CC(C)(C)C1CC(C(=O)O)C1||1.991
1517,5253,CC(C)(C)C1CC=C(C(=O)O)CC1,CC(C)(C)C1CC=C(C(=O)O)CC1,1.488,C1=CCCCC1,CC(C)(C)C1CC=C(C(=O)O)CC1||1.488
1518,6657,CC(C)(C)C1CCC(C(=O)NN)CC1,CC(C)(C)C1CCC(C(=O)NN)CC1,1.533,C1CCCCC1,CC(C)(C)C1CCC(C(=O)NN)CC1||1.533
1519,13638,CC(C)(C)C1CCC(C(=O)Nc2ccc(C(=O)O)cc2)CC1,CC(C)(C)C1CCC(C(=O)Nc2ccc(C(=O)O)cc2)CC1,0.986,O=C(Nc1ccccc1)C1CCCCC1,CC(C)(C)C1CCC(C(=O)Nc2ccc(C(=O)O)cc2)CC1||0.986
1520,5404,CC(C)(C)C1CCC(C(=O)O)CC1,CC(C)(C)C1CCC(C(=O)O)CC1,1.959,C1CCCCC1,CC(C)(C)C1CCC(C(=O)O)CC1||1.959
1521,3067,CC(C)(C)C1CCC(N)CC1,CC(C)(C)C1CCC(N)CC1,1.275,C1CCCCC1,CC(C)(C)C1CCC(N)CC1||1.275
1522,9381,CC(C)(C)C1CCC(NCCCS)CC1,CC(C)(C)C1CCC(NCCCS)CC1,0.904,C1CCCCC1,CC(C)(C)C1CCC(NCCCS)CC1||0.904
1523,13481,CC(C)(C)C1CCC(NCCc2c[nH]c3ccccc23)CC1,CC(C)(C)C1CCC(NCCc2c[nH]c3ccccc23)CC1,0.426,c1ccc2c(CCNC3CCCCC3)c[nH]c2c1,CC(C)(C)C1CCC(NCCc2c[nH]c3ccccc23)CC1||0.426
1524,10587,CC(C)(C)C1CCC(NCc2ccncc2)CC1,CC(C)(C)C1CCC(NCc2ccncc2)CC1,0.961,c1cc(CNC2CCCCC2)ccn1,CC(C)(C)C1CCC(NCc2ccncc2)CC1||0.961
1525,4275,CC(C)(C)C1CCC(NN)CC1,CC(C)(C)C1CCC(NN)CC1,1.018,C1CCCCC1,CC(C)(C)C1CCC(NN)CC1||1.018
1526,12749,CC(C)(C)C1CCC2(CC1)NC(=S)N(C(C)(C)C)N2,CC(C)(C)C1CCC2(CC1)NC(=S)N(C(C)(C)C)N2,0.567,S=C1NNC2(CCCCC2)N1,CC(C)(C)C1CCC2(CC1)NC(=S)N(C(C)(C)C)N2||0.567
1527,13645,CC(C)(C)C1CCC2(CC1)NC(=S)N(c1ccccc1)N2,CC(C)(C)C1CCC2(CC1)NC(=S)N(c1ccccc1)N2,0.564,S=C1NC2(CCCCC2)NN1c1ccccc1,CC(C)(C)C1CCC2(CC1)NC(=S)N(c1ccccc1)N2||0.564
1528,13249,CC(C)(C)C1CCC2(CC1)Nc1cccc3cccc(c13)N2,CC(C)(C)C1CCC2(CC1)Nc1cccc3cccc(c13)N2,0.082,c1cc2c3c(cccc3c1)NC1(CCCCC1)N2,CC(C)(C)C1CCC2(CC1)Nc1cccc3cccc(c13)N2||0.082
1529,7652,CC(C)(C)C1CCC2(CCNCC2)CC1,CC(C)(C)C1CCC2(CCNCC2)CC1,0.897,C1CCC2(CC1)CCNCC2,CC(C)(C)C1CCC2(CCNCC2)CC1||0.897
1530,5234,CC(C)(C)C1CCC=C(C(=O)O)C1,CC(C)(C)C1CCC=C(C(=O)O)C1,1.486,C1=CCCCC1,CC(C)(C)C1CCC=C(C(=O)O)C1||1.486
1531,5418,CC(C)(C)C1CCCC(C(=O)O)C1,CC(C)(C)C1CCCC(C(=O)O)C1,1.94,C1CCCCC1,CC(C)(C)C1CCCC(C(=O)O)C1||1.94
1532,6540,CC(C)(C)C1CCCC(C(C)(C)C)N1,CC(C)(C)C1CCCC(C(C)(C)C)N1,0.877,C1CCNCC1,CC(C)(C)C1CCCC(C(C)(C)C)N1||0.877
1533,5419,CC(C)(C)C1CCCCC1C(=O)O,CC(C)(C)C1CCCCC1C(=O)O,1.837,C1CCCCC1,CC(C)(C)C1CCCCC1C(=O)O||1.837
1534,3082,CC(C)(C)C1CCCCC1N,CC(C)(C)C1CCCCC1N,1.128,C1CCCCC1,CC(C)(C)C1CCCCC1N||1.128
1535,2064,CC(C)(C)C1CCNCC1,CC(C)(C)C1CCNCC1,1.016,C1CCNCC1,CC(C)(C)C1CCNCC1||1.016
1536,434,CC(C)(C)C1NO1,CC(C)(C)C1NO1,1.735,C1NO1,CC(C)(C)C1NO1||1.735
1537,5529,CC(C)(C)C=C(CC(=O)O)C(=O)O,CC(C)(C)C=C(CC(=O)O)C(=O)O,1.648,NO_SCAFFOLD::CC(C)(C)C=C(CC(=O)O)C(=O)O,CC(C)(C)C=C(CC(=O)O)C(=O)O||1.648
1538,1304,CC(C)(C)C=CC(=O)O,CC(C)(C)C=CC(=O)O,1.884,NO_SCAFFOLD::CC(C)(C)C=CC(=O)O,CC(C)(C)C=CC(=O)O||1.884
1539,11264,CC(C)(C)CC(=O)NC(=S)NC1CCCCC1,CC(C)(C)CC(=O)NC(=S)NC1CCCCC1,1.068,C1CCCCC1,CC(C)(C)CC(=O)NC(=S)NC1CCCCC1||1.068
1540,12463,CC(C)(C)CC(=O)NC(=S)NCCc1ccccc1,CC(C)(C)CC(=O)NC(=S)NCCc1ccccc1,1.039,c1ccccc1,CC(C)(C)CC(=O)NC(=S)NCCc1ccccc1||1.039
1541,11678,CC(C)(C)CC(=O)NC(=S)NCc1ccccc1,CC(C)(C)CC(=O)NC(=S)NCc1ccccc1,1.071,c1ccccc1,CC(C)(C)CC(=O)NC(=S)NCc1ccccc1||1.071
1542,10853,CC(C)(C)CC(=O)NC(=S)Nc1ccccc1,CC(C)(C)CC(=O)NC(=S)Nc1ccccc1,0.861,c1ccccc1,CC(C)(C)CC(=O)NC(=S)Nc1ccccc1||0.861
1543,12670,CC(C)(C)CC(=O)Nc1ccc(Nc2ccccc2)cc1,CC(C)(C)CC(=O)Nc1ccc(Nc2ccccc2)cc1,0.108,c1ccc(Nc2ccccc2)cc1,CC(C)(C)CC(=O)Nc1ccc(Nc2ccccc2)cc1||0.108
1544,882,CC(C)(C)CC(=O)O,CC(C)(C)CC(=O)O,2.105,NO_SCAFFOLD::CC(C)(C)CC(=O)O,CC(C)(C)CC(=O)O||2.105
1545,6847,CC(C)(C)CC(C)(C(=O)O)C(C)(C)C,CC(C)(C)CC(C)(C(=O)O)C(C)(C)C,1.877,NO_SCAFFOLD::CC(C)(C)CC(C)(C(=O)O)C(C)(C)C,CC(C)(C)CC(C)(C(=O)O)C(C)(C)C||1.877
1546,3329,CC(C)(C)CC(C)(C)C(=O)O,CC(C)(C)CC(C)(C)C(=O)O,2.018,NO_SCAFFOLD::CC(C)(C)CC(C)(C)C(=O)O,CC(C)(C)CC(C)(C)C(=O)O||2.018
1547,4429,CC(C)(C)CC(C)(C)CC(=O)O,CC(C)(C)CC(C)(C)CC(=O)O,2.006,NO_SCAFFOLD::CC(C)(C)CC(C)(C)CC(=O)O,CC(C)(C)CC(C)(C)CC(=O)O||2.006
1548,10056,CC(C)(C)CC(C)(C)CC(C)(C)CC1(C)CN1,CC(C)(C)CC(C)(C)CC(C)(C)CC1(C)CN1,1.201,C1CN1,CC(C)(C)CC(C)(C)CC(C)(C)CC1(C)CN1||1.201
